epoch,train_loss,val_loss,lr
1,1.2051,1.1025,0.0003
2,0.9417,1.017,0.000255
3,0.8449,0.8769,0.000217
4,0.7685,0.8659,0.000184
5,0.7057,0.7951,0.000157
6,0.658,0.7375,0.000133
7,0.6082,0.7562,0.000113
8,0.5788,0.7231,9.6e-05
9,0.5422,0.7006,8.2e-05
10,0.5274,0.7272,6.9e-05
