Model,mPQ,bPQ,F1-Detection,Dice,PQ-Neoplastic,PQ-Inflammatory,PQ-Connective,PQ-Dead,PQ-Epithelial
"NuLite-T (Paper, 130 epochs)",0.4762,0.6817,0.8204,0.7103,0.5121,0.4213,0.3984,0.2011,0.4491
"NuLite-T (Ours, 20 epochs)",0.2117,0.4787,0.7235,0.7331,0.394,0.0144,0.2123,0.0,0.0014
